Ion = Lithium     , Mass = 7.016
Tgt =  C (Solid), Density = 1 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.648E-01   1.122E+00  6.783E+00 
1.681E-01   1.133E+00  6.815E+00 
1.715E-01   1.144E+00  6.847E+00 
1.749E-01   1.156E+00  6.879E+00 
1.784E-01   1.167E+00  6.910E+00 
1.819E-01   1.179E+00  6.941E+00 
1.856E-01   1.191E+00  6.972E+00 
1.893E-01   1.203E+00  7.003E+00 
1.931E-01   1.214E+00  7.034E+00 
1.969E-01   1.227E+00  7.064E+00 
2.009E-01   1.239E+00  7.094E+00 
2.049E-01   1.251E+00  7.124E+00 
2.090E-01   1.264E+00  7.154E+00 
2.132E-01   1.276E+00  7.183E+00 
2.174E-01   1.289E+00  7.212E+00 
2.218E-01   1.302E+00  7.241E+00 
2.262E-01   1.315E+00  7.270E+00 
2.308E-01   1.328E+00  7.298E+00 
2.354E-01   1.341E+00  7.326E+00 
2.401E-01   1.354E+00  7.353E+00 
2.449E-01   1.368E+00  7.381E+00 
2.498E-01   1.381E+00  7.408E+00 
2.548E-01   1.395E+00  7.434E+00 
2.599E-01   1.409E+00  7.461E+00 
2.651E-01   1.423E+00  7.487E+00 
2.704E-01   1.437E+00  7.512E+00 
2.758E-01   1.451E+00  7.538E+00 
2.813E-01   1.466E+00  7.563E+00 
2.869E-01   1.480E+00  7.587E+00 
2.927E-01   1.495E+00  7.612E+00 
2.985E-01   1.510E+00  7.636E+00 
3.045E-01   1.525E+00  7.659E+00 
3.106E-01   1.540E+00  7.682E+00 
3.168E-01   1.556E+00  7.705E+00 
3.231E-01   1.571E+00  7.728E+00 
3.296E-01   1.587E+00  7.750E+00 
3.362E-01   1.602E+00  7.771E+00 
3.429E-01   1.618E+00  7.793E+00 
3.497E-01   1.635E+00  7.813E+00 
3.567E-01   1.651E+00  7.834E+00 
3.639E-01   1.667E+00  7.854E+00 
3.712E-01   1.684E+00  7.873E+00 
