Ion = Lithium     , Mass = 7.016
Tgt =  C (Solid), Density = 1 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.432E+03   7.171E+01  1.095E-01 
1.460E+03   7.173E+01  1.077E-01 
1.489E+03   7.174E+01  1.059E-01 
1.519E+03   7.172E+01  1.042E-01 
1.550E+03   7.170E+01  1.024E-01 
1.581E+03   7.165E+01  1.007E-01 
1.612E+03   7.159E+01  9.907E-02 
1.644E+03   7.150E+01  9.742E-02 
1.677E+03   7.141E+01  9.580E-02 
1.711E+03   7.129E+01  9.421E-02 
1.745E+03   7.116E+01  9.264E-02 
1.780E+03   7.102E+01  9.110E-02 
1.816E+03   7.086E+01  8.958E-02 
1.852E+03   7.068E+01  8.809E-02 
1.889E+03   7.049E+01  8.662E-02 
1.927E+03   7.028E+01  8.517E-02 
1.965E+03   7.005E+01  8.375E-02 
2.005E+03   6.982E+01  8.235E-02 
2.045E+03   6.956E+01  8.097E-02 
2.086E+03   6.930E+01  7.962E-02 
2.127E+03   6.902E+01  7.829E-02 
2.170E+03   6.872E+01  7.698E-02 
2.213E+03   6.842E+01  7.569E-02 
2.258E+03   6.810E+01  7.442E-02 
2.303E+03   6.777E+01  7.317E-02 
2.349E+03   6.742E+01  7.195E-02 
2.396E+03   6.707E+01  7.074E-02 
2.444E+03   6.670E+01  6.955E-02 
2.492E+03   6.632E+01  6.838E-02 
2.542E+03   6.594E+01  6.723E-02 
2.593E+03   6.554E+01  6.610E-02 
2.645E+03   6.513E+01  6.499E-02 
2.698E+03   6.472E+01  6.390E-02 
2.752E+03   6.429E+01  6.282E-02 
2.807E+03   6.386E+01  6.176E-02 
2.863E+03   6.342E+01  6.072E-02 
2.920E+03   6.297E+01  5.970E-02 
2.979E+03   6.252E+01  5.869E-02 
3.038E+03   6.205E+01  5.770E-02 
3.099E+03   6.159E+01  5.673E-02 
3.161E+03   6.111E+01  5.577E-02 
3.224E+03   6.063E+01  5.483E-02 
3.289E+03   6.015E+01  5.390E-02 
3.355E+03   5.966E+01  5.299E-02 
3.422E+03   5.916E+01  5.209E-02 
3.490E+03   5.866E+01  5.121E-02 
3.560E+03   5.816E+01  5.034E-02 
3.631E+03   5.765E+01  4.949E-02 
3.704E+03   5.714E+01  4.865E-02 
3.778E+03   5.663E+01  4.783E-02 
3.853E+03   5.612E+01  4.702E-02 
3.930E+03   5.560E+01  4.622E-02 
4.009E+03   5.508E+01  4.543E-02 
4.089E+03   5.456E+01  4.466E-02 
4.171E+03   5.404E+01  4.390E-02 
4.254E+03   5.351E+01  4.316E-02 
4.339E+03   5.299E+01  4.242E-02 
4.426E+03   5.247E+01  4.170E-02 
4.515E+03   5.194E+01  4.099E-02 
4.605E+03   5.142E+01  4.029E-02 
4.697E+03   5.089E+01  3.961E-02 
4.791E+03   5.037E+01  3.893E-02 
4.887E+03   4.984E+01  3.827E-02 
4.985E+03   4.932E+01  3.762E-02 
5.084E+03   4.880E+01  3.697E-02 
5.186E+03   4.828E+01  3.634E-02 
5.290E+03   4.776E+01  3.572E-02 
5.396E+03   4.724E+01  3.511E-02 
5.503E+03   4.673E+01  3.451E-02 
5.614E+03   4.621E+01  3.392E-02 
5.726E+03   4.570E+01  3.334E-02 
5.840E+03   4.519E+01  3.277E-02 
5.957E+03   4.468E+01  3.221E-02 
6.076E+03   4.418E+01  3.166E-02 
6.198E+03   4.367E+01  3.112E-02 
6.322E+03   4.317E+01  3.059E-02 
6.448E+03   4.268E+01  3.006E-02 
6.577E+03   4.218E+01  2.955E-02 
6.709E+03   4.169E+01  2.904E-02 
6.843E+03   4.120E+01  2.854E-02 
6.980E+03   4.072E+01  2.805E-02 
7.119E+03   4.023E+01  2.757E-02 
7.262E+03   3.976E+01  2.710E-02 
7.407E+03   3.928E+01  2.663E-02 
7.555E+03   3.881E+01  2.617E-02 
7.706E+03   3.834E+01  2.572E-02 
7.860E+03   3.787E+01  2.528E-02 
8.018E+03   3.741E+01  2.485E-02 
8.178E+03   3.696E+01  2.442E-02 
8.341E+03   3.650E+01  2.400E-02 
8.508E+03   3.605E+01  2.358E-02 
8.678E+03   3.561E+01  2.318E-02 
8.852E+03   3.516E+01  2.278E-02 
9.029E+03   3.472E+01  2.239E-02 
9.210E+03   3.429E+01  2.200E-02 
9.394E+03   3.386E+01  2.162E-02 
9.582E+03   3.343E+01  2.125E-02 
9.773E+03   3.301E+01  2.088E-02 
9.969E+03   3.259E+01  2.052E-02 
1.017E+04   3.218E+01  2.017E-02 
1.037E+04   3.176E+01  1.982E-02 
1.058E+04   3.136E+01  1.948E-02 
1.079E+04   3.095E+01  1.914E-02 
1.101E+04   3.056E+01  1.881E-02 
1.123E+04   3.016E+01  1.848E-02 
1.145E+04   2.977E+01  1.816E-02 
1.168E+04   2.938E+01  1.785E-02 
1.191E+04   2.900E+01  1.754E-02 
1.215E+04   2.862E+01  1.724E-02 
1.239E+04   2.825E+01  1.694E-02 
1.264E+04   2.788E+01  1.664E-02 
1.290E+04   2.751E+01  1.635E-02 
1.315E+04   2.715E+01  1.607E-02 
1.342E+04   2.679E+01  1.579E-02 
1.369E+04   2.643E+01  1.552E-02 
1.396E+04   2.608E+01  1.525E-02 
1.424E+04   2.574E+01  1.498E-02 
1.452E+04   2.541E+01  1.472E-02 
1.481E+04   2.506E+01  1.447E-02 
1.511E+04   2.471E+01  1.422E-02 
1.541E+04   2.435E+01  1.397E-02 
1.572E+04   2.399E+01  1.373E-02 
1.603E+04   2.362E+01  1.349E-02 
1.635E+04   2.324E+01  1.325E-02 
1.668E+04   2.285E+01  1.302E-02 
1.702E+04   2.248E+01  1.280E-02 
1.736E+04   2.215E+01  1.257E-02 
1.770E+04   2.182E+01  1.235E-02 
1.806E+04   2.149E+01  1.214E-02 
1.842E+04   2.117E+01  1.193E-02 
1.879E+04   2.086E+01  1.172E-02 
1.916E+04   2.054E+01  1.151E-02 
1.955E+04   2.024E+01  1.131E-02 
1.994E+04   1.993E+01  1.112E-02 
2.034E+04   1.963E+01  1.092E-02 
2.074E+04   1.934E+01  1.073E-02 
2.116E+04   1.905E+01  1.054E-02 
2.158E+04   1.876E+01  1.036E-02 
2.201E+04   1.848E+01  1.018E-02 
2.245E+04   1.820E+01  1.000E-02 
2.290E+04   1.793E+01  9.827E-03 
2.336E+04   1.765E+01  9.655E-03 
2.383E+04   1.739E+01  9.486E-03 
2.430E+04   1.712E+01  9.320E-03 
2.479E+04   1.686E+01  9.157E-03 
2.528E+04   1.661E+01  8.997E-03 
2.579E+04   1.635E+01  8.839E-03 
2.631E+04   1.611E+01  8.684E-03 
2.683E+04   1.586E+01  8.532E-03 
2.737E+04   1.562E+01  8.383E-03 
2.792E+04   1.538E+01  8.236E-03 
2.847E+04   1.514E+01  8.092E-03 
2.904E+04   1.491E+01  7.950E-03 
2.962E+04   1.468E+01  7.810E-03 
3.022E+04   1.446E+01  7.673E-03 
3.082E+04   1.424E+01  7.539E-03 
3.144E+04   1.402E+01  7.406E-03 
3.207E+04   1.380E+01  7.276E-03 
3.271E+04   1.359E+01  7.148E-03 
3.336E+04   1.338E+01  7.023E-03 
3.403E+04   1.317E+01  6.900E-03 
3.471E+04   1.297E+01  6.778E-03 
3.540E+04   1.277E+01  6.659E-03 
3.611E+04   1.257E+01  6.542E-03 
3.683E+04   1.238E+01  6.427E-03 
3.757E+04   1.219E+01  6.314E-03 
3.832E+04   1.200E+01  6.203E-03 
3.909E+04   1.181E+01  6.094E-03 
3.987E+04   1.163E+01  5.987E-03 
4.067E+04   1.145E+01  5.881E-03 
4.148E+04   1.127E+01  5.778E-03 
4.231E+04   1.109E+01  5.676E-03 
4.316E+04   1.092E+01  5.576E-03 
4.402E+04   1.075E+01  5.478E-03 
4.490E+04   1.058E+01  5.381E-03 
4.580E+04   1.041E+01  5.286E-03 
4.671E+04   1.025E+01  5.193E-03 
4.765E+04   1.009E+01  5.101E-03 
4.860E+04   9.932E+00  5.011E-03 
4.957E+04   9.777E+00  4.923E-03 
5.057E+04   9.623E+00  4.836E-03 
5.158E+04   9.472E+00  4.751E-03 
5.261E+04   9.323E+00  4.667E-03 
5.366E+04   9.176E+00  4.584E-03 
5.473E+04   9.031E+00  4.503E-03 
5.583E+04   8.889E+00  4.424E-03 
5.695E+04   8.749E+00  4.346E-03 
5.808E+04   8.611E+00  4.269E-03 
5.925E+04   8.475E+00  4.193E-03 
6.043E+04   8.341E+00  4.119E-03 
6.164E+04   8.209E+00  4.046E-03 
6.287E+04   8.079E+00  3.975E-03 
6.413E+04   7.951E+00  3.904E-03 
6.541E+04   7.825E+00  3.835E-03 
6.672E+04   7.701E+00  3.767E-03 
6.805E+04   7.579E+00  3.701E-03 
6.942E+04   7.458E+00  3.635E-03 
7.080E+04   7.340E+00  3.571E-03 
7.222E+04   7.223E+00  3.507E-03 
7.366E+04   7.108E+00  3.445E-03 
7.514E+04   6.995E+00  3.384E-03 
7.664E+04   6.884E+00  3.324E-03 
7.817E+04   6.774E+00  3.265E-03 
7.974E+04   6.666E+00  3.207E-03 
8.133E+04   6.560E+00  3.150E-03 
8.296E+04   6.456E+00  3.095E-03 
8.462E+04   6.353E+00  3.040E-03 
8.631E+04   6.251E+00  2.986E-03 
8.804E+04   6.152E+00  2.933E-03 
8.980E+04   6.053E+00  2.881E-03 
9.159E+04   5.957E+00  2.829E-03 
9.342E+04   5.861E+00  2.779E-03 
9.529E+04   5.768E+00  2.730E-03 
9.720E+04   5.675E+00  2.681E-03 
9.914E+04   5.585E+00  2.634E-03 
1.011E+05   5.495E+00  2.587E-03 
1.031E+05   5.407E+00  2.541E-03 
1.052E+05   5.321E+00  2.496E-03 
1.073E+05   5.236E+00  2.451E-03 
1.095E+05   5.152E+00  2.408E-03 
1.117E+05   5.069E+00  2.365E-03 
1.139E+05   4.988E+00  2.323E-03 
1.162E+05   4.908E+00  2.281E-03 
1.185E+05   4.829E+00  2.241E-03 
1.209E+05   4.752E+00  2.201E-03 
1.233E+05   4.676E+00  2.162E-03 
1.257E+05   4.601E+00  2.123E-03 
1.283E+05   4.527E+00  2.085E-03 
1.308E+05   4.455E+00  2.048E-03 
1.334E+05   4.383E+00  2.012E-03 
1.361E+05   4.313E+00  1.976E-03 
1.388E+05   4.244E+00  1.941E-03 
1.416E+05   4.176E+00  1.906E-03 
1.444E+05   4.109E+00  1.872E-03 
1.473E+05   4.043E+00  1.839E-03 
1.503E+05   3.978E+00  1.806E-03 
1.533E+05   3.914E+00  1.774E-03 
1.563E+05   3.851E+00  1.742E-03 
1.595E+05   3.790E+00  1.711E-03 
1.627E+05   3.729E+00  1.680E-03 
1.659E+05   3.669E+00  1.650E-03 
1.692E+05   3.610E+00  1.621E-03 
1.726E+05   3.553E+00  1.592E-03 
1.761E+05   3.496E+00  1.563E-03 
1.796E+05   3.440E+00  1.535E-03 
1.832E+05   3.385E+00  1.508E-03 
1.868E+05   3.331E+00  1.481E-03 
1.906E+05   3.277E+00  1.455E-03 
1.944E+05   3.225E+00  1.429E-03 
1.983E+05   3.173E+00  1.403E-03 
